ID,NOMBRE,TOPE,BASE,ESP,HZ,HZ_DEF,HZ_FORM,PED_TIPO,PED2_TIPO,PED_SIZ,PED2_SIZ,PED_GRADE,PED2_GRADE,REC,REC_POR,MACROP1,MACROP2,MACROP1_POR,MACROP2_POR,MX_H,MX_V,MX_C,CON_H,CON_V,CON_C,CON_POR,CON_TIPO,CON_SIZ,FRAG_POR,FRAG_TIPO,ARENA,LIMO,ARCILLA,CLASE_TXT,GRAVAS,pH,ACID_INT,SAI,CO,CT,NT,C_N,P,CIC,CICE,Ca,Mg,K,Na,BT,SB,Ca_Mg,Mg_K,Ca_K,Ca_Mg_K,Al_OAA,Fe_OAA,Si_OAA,Al_DCS,Fe_DCS,CE,DENS_AP,KSmedia_cmd,KS1_cmd,KS2_cmd,KS3_cmd,KS4_cmd,KS5_cmd,KS6_cmd,Ks_ROSSETA
CS01,mondonedo,0,35,35,A,gradual,irregular,bs,NA,g,NA,m,NA,NA,0,raiz,NA,10,0,10YR,4,2,2.5Y,5,8,0,NA,NA,0,NA,36,28.9,35.1,F Ar,17,5.8,NA,NA,1.99,2.71,0.23,11.59,4.18,11.622,7.72,5.07,2.25,0.37,0.03,7.72,66.42,2.25,6.08,13.7,19.78,0.05,0.07,0.02,0.01,0.07,0.12,1.21,73.09,62.59442,80.08837,69.16018,81.14664,86.99186,65.4591,30.9425482
CS01,mondonedo,35,80,45,E,abrupto,plano,co,bs,mg,mg,f,f,NA,0,raiz,grieta,20,2,10YR,5,1,2.5Y,5,8,2,mancha,f,0,NA,31.5,35.3,33.2,F Ar,NA,5.6,NA,NA,1.56,2.11,0.18,11.6,12.59,14.583,10.36,6.39,3.22,0.5,0.25,10.36,71.04,1.98,6.44,12.78,19.22,0.1,0.1,0.06,0.01,0.07,0.36,1.53,12.1,39.842348,3.953347,8.162936,69.100268,25.018689,11.0638,5.827349593
CS01,mondonedo,80,90,10,Bt,abrupto,quebrado,la,ba,mg,g,m,f,mo,60,grieta,plano,10,5,10YR,4,1,10YR,2,1,80,lenticular,m,0,NA,29.5,27,43.5,Ar,NA,7.4,NA,NA,0.46,0.62,0.05,11.6,0,16.685,12.5,7.92,3.64,0.31,0.63,12.5,74.92,2.18,11.74,25.55,37.29,0.31,0.04,0.27,0.39,0.06,0.43,1.65,21.43,50.13048,49.07138,27.5606,11.75838,38.14633,33.759772,3.162028862
CS01,mondonedo,90,140,50,B/C,abrupto,ondulado,co,ba,mg,mg,f,f,mo,40,grieta,NA,5,0,10YR,5,1,10YR,2,1,10,lenticular,m,5,plaeners,25.1,33.3,41.6,Ar,NA,6.6,NA,NA,0.98,1.33,0.11,11.59,8.76,16.104,12.4,7.36,3.94,0.49,0.61,12.4,77,1.87,8.04,15.02,23.06,0.09,0.04,0.07,0.01,0.01,0.85,1.56,,,,,,,,4.491064657
CS01,mondonedo,140,170,30,Bn1,abrupto,ondulado,co,ba,mg,mg,f,f,mo,40,grieta,NA,5,0,10YR,5,1,10YR,2,1,5,lenticular,m,0,NA,35.9,22.8,41.3,Ar,NA,6.3,NA,NA,0.44,0.6,0.05,11.6,6.34,16.751,10.54,5.28,3.89,0.45,0.92,10.54,62.92,1.36,8.64,11.73,20.38,0.25,0.03,0.26,0.41,0.07,0.39,1.61,12.87,17.51312,17.42311,22.45792,12.98476,17.2971,21.45737,4.624421078
CS01,mondonedo,170,177,7,Bt1,abrupto,quebrado,bs,NA,g,NA,f,NA,mo,60,grieta,NA,10,0,2.5Y,4,1,10YR,2,1,80,lenticular,m,0,NA,30.6,24.5,44.9,Ar,NA,6.3,NA,NA,0.16,0.22,0.02,11.56,13.43,7.73,4.39,1.78,1.77,0.37,0.47,4.39,56.79,1.01,4.78,4.81,9.6,0.19,0.03,0.25,0.37,0.06,0.29,1.6,5.68,5.845912,8.89106,3.041223,2.081541,4.951926,1.629863,3.346343177
CS01,plaeners,177,250,73,C1,difuso,ondulado,co,NA,mg,NA,m,NA,NA,0,grieta,NA,5,0,10YR,7,8,7.5YR,5,8,5,laminar,g,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,,,,,,,,
CS01,plaeners,250,280,30,R,,,,,,,,,,,,,,,10YR,8,3,7.5YR,5,8,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS02,plaeners,0,25,25,A,claro,ondulado,bs,NA,m,NA,m,NA,NA,0,raiz,grieta,15,5,7.5YR,4,2,10YR,7,8,0,NA,NA,0,NA,34.2,39.1,26.7,F,NA,5.4,0.3,5.12,2.2,2.99,0.26,11.6,4.72,15.81,5.79,3.7,1.48,0.28,0.03,5.49,36.16,2.5,5.29,13.21,18.5,0.46,0.02,0.35,0.38,0.07,0.21,1.48,,,,,,,,8.507806192
CS02,plaeners,25,50,25,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5YR,8,2,7.5YR,5,8,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
