ID,Foto,lat,long,ESP_AFL,ESP_SUELO,PAREN_1,PAREN_2,ROCA,SECUENCIA,SECUENCIA_DES
CS01,IMG_20210221_100044,4.55669,-74.167187,2.5,1.7,mondonedo,plaeners,plaeners,A2,mondo_muy espeso/plaeners 
CS02,IMG_20210221_094043,4.556665,-74.167801,0.9,0.25,plaeners,NA,plaeners,A1,plaeners residual/plaeners
CS03,IMG_20210221_112526,4.554412,-74.168778,5.5,5,mondonedo,balsillas,plaeners,B2,mondo_normal/balsillas
CS04,IMG_20210221_125236,4.549973,-74.173588,1.4,NA,mondonedo,balsillas,NA,B2,mondo_normal/balsillas
CS05,IMG_20210214_144600,4.549155,-74.173512,4,NA,mondonedo,balsillas,NA,B2,mondo_normal/balsillas
CS06,IMG_20210214_145706,4.552557,-74.171626,0.8,NA,mondonedo,balsillas,NA,B1,mondo_normal/arenisca
CS07,IMG_20210307_102938,4.556982,-74.166136,2,NA,mondonedo,balsillas,NA,B1,balsillas 
CS09,CS09,4.551041,-74.16678,2,NA,NA,NA,NA,B2,NA
CS10,CS10,4.551889,-74.16759,2,NA,NA,NA,NA,B1,NA
CS12,IMG_20210307_102228,4.557361,-74.166079,0.4,0.4,mondonedo,arenisca,arenisca,B1,mondo_delgado/arenisca
CS13,IMG_20210307_142631,4.560202,-74.168445,0.4,0.4,mondonedo,arenisca,NA,B1,NA
CS14,IMG_20210221_091849,4.559902,-74.168603,0.4,NA,NA,NA,NA,B2,NA
CS15,IMG_20210307_100414,4.557039,-74.167613,1,NA,mondonedo,NA,NA,B2,NA
CS16,IMG_20210221_122524,4.554095,-74.168856,2,2,mondonedo,NA,plaeners,A2,mondo_espeso/plaeners
CS17,IMG_20210307_121509,4.553109,-74.170639,1.6,0.8,mondonedo,NA,arenisca,A2,mondo_normal/arenisca
CS18,IMG_20210221_140025,4.555176,-74.169651,2,NA,mondonedo,balsillas,NA,B1,NA
CS19,IMG_20210221_140525,4.554777,-74.168507,3,NA,mondonedo,balsillas,NA,B2,NA
CS20,IMG_20210307_142147,4.559115,-74.169089,0.6,NA,mondonedo,balsillas,NA,B2,balsillas
CS21,IMG_20210307_105829,4.557354,-74.161402,1.4,NA,mondonedo,NA,NA,B2,NA
CS22,IMG_20210307_085202,4.562783,-74.16481,0.4,0.4,plaeners,NA,plaeners,A1,plaeners residual/plaeners
CS23,IMG_20210307_085410,4.562557,-74.164921,0.3,0.3,plaeners,NA,plaeners,A1,plaeners residual/plaeners
CS24,IMG_20210307_095609,4.560146,-74.167254,2,1,NA,NA,plaeners,A1,NA
CS25,IMG_20210307_101644,4.557078,-74.167305,NA,NA,NA,NA,NA,B2,NA
CS26,IMG_20210307_101953,4.55773,-74.166173,0.4,NA,mondonedo,balsillas,NA,B1,NA
CS27,IMG_20210307_104611,4.557751,-74.162507,0.8,NA,mondonedo,NA,NA,B2,NA
CS28,IMG_20210307_104820,4.557698,-74.162278,2.9,2.5,mondonedo,balsillas,arenisca,B2,mondonedo_muy espeso/balsillas/arenisca
CS29,IMG_20210307_105509,4.557659,-74.162129,1.2,NA,mondonedo,Na,NA,B2,NA
CS30,IMG_20210307_105552,4.557593,-74.161955,1.8,NA,mondonedo,balsillas,NA,B2,NA
CS31,IMG_20210307_105622,4.557694,-74.161886,1.6,NA,mondonedo,balsillas,NA,B2,mondonedo_espeso/balsillas
CS32,IMG_20210307_105739,4.557371,-74.161484,2,NA,mondonedo,balsillas,NA,B2,mondonedo_espeso/balsillas
